Class,Precision,Recall,F1_Score
049.cormorant,1.0,0.9166666666666666,0.9565217391304348
050.covered-wagon,0.7142857142857143,0.45454545454545453,0.5555555555555556
051.cowboy-hat,0.5,0.4166666666666667,0.45454545454545453
052.crab-101,0.8,0.8888888888888888,0.8421052631578947
053.desk-globe,0.8888888888888888,0.8888888888888888,0.8888888888888888
054.diamond-ring,0.8,0.9230769230769231,0.8571428571428571
055.dice,0.6363636363636364,0.6363636363636364,0.6363636363636364
056.dog,0.7,0.6363636363636364,0.6666666666666666
057.dolphin-101,0.6470588235294118,0.9166666666666666,0.7586206896551724
058.doorknob,0.5714285714285714,0.4,0.47058823529411764
059.drinking-straw,0.6666666666666666,0.4444444444444444,0.5333333333333333
060.duck,0.8571428571428571,0.6,0.7058823529411765
061.dumb-bell,0.5833333333333334,0.6363636363636364,0.6086956521739131
062.eiffel-tower,1.0,0.8888888888888888,0.9411764705882353
063.electric-guitar-101,0.8,0.9230769230769231,0.8571428571428571
064.elephant-101,0.9333333333333333,1.0,0.9655172413793104
065.elk,0.9090909090909091,0.9090909090909091,0.9090909090909091
066.ewer-101,0.8181818181818182,1.0,0.9
067.eyeglasses,0.8571428571428571,0.6666666666666666,0.75
068.fern,0.6923076923076923,0.8181818181818182,0.75
069.fighter-jet,0.8571428571428571,0.5454545454545454,0.6666666666666666
070.fire-extinguisher,0.7777777777777778,0.7777777777777778,0.7777777777777778
071.fire-hydrant,0.6363636363636364,0.6363636363636364,0.6363636363636364
072.fire-truck,0.9285714285714286,1.0,0.9629629629629629
073.fireworks,1.0,0.8,0.8888888888888888
074.flashlight,0.5,0.5,0.5
075.floppy-disk,0.8,0.8888888888888888,0.8421052631578947
